comment,label
"kalau doktor terlebih, kenapa ada sampai terlebih institut pengajian kedoktoran. 30+. tutup je.",m
oklah... kalau tak nak bagi peluang bekerja dgn kerajaan. tukar polisi. benarkan doctor buka klinik sendiri dan bantu mereka. outsource kpd mereka.,c
Knp susah sgt nk appreciate these doctors? Usaha diaorg during PANDERMIC semua ni not enough ke utk di justify to give them the position?,c
dont know la... apa yg aku tahu banyak doc kerajaan support jd pakar tp selpas habis study banyak yg xmahu berkhidmat.,c
go doctor! ur future junior here need ur voice????,e
kawan Aku yg belajar kat UK terus jadi doc kat Sana terus??,c
sblom ni krjaya doc jdi impian ank2 ibu bapa..tpi untk masa mndtg mgkin tdk lgi,c
keje oil & gas offshore lagi kesian keje lama & jauh dari fmly… pegi blah dia punya kesian hahaha gaji kepuk berbaloi laaaa ????,m
takyah nak compare sepa lg susah. sepa suruh kerja jauh² kn bgus kerja kat foodpanda ??,c
keje oil n gas pakai spm pun boleh. nak jadi dr tak mudah,c
baca komen bwh pasal pkerjaan artis ??,m
hg pasai apaa... xda kaitan pn dua skop kerja yg berbezaa tu ...,m
Sekarang ni orang citer pasal doktor kontrak,m
pssst psstt bagi chance sikit,c
"doktor jela kerjaya tkde jaminan,underpaid bagai..yg aku ni lgi la..tapi aku pikir yg skng ni sume org trjejas..ade yg tkde keje..so brsyukur la",c
"jgn ingt korng dianggp pnting time covid mcmni, korng nk demand mcm2.kte sume pon kalo bole nk demand..tpi gaji,elaun kne potong itu ini.kontrk plk tu",c
"fikir rakyt?seyesla..ke fkir krjaya dorng je..suma keje pnat dik..sume keje ade risiko..tpi nk hidup,nk cari duit kene hadap la jgk.syukur",m
"Bang takde dorang, habis la kita. Ya Allah penat nya nak fahamkan orang",m
"dorng atau doktor tk kan abis..org yg pgi silih brganti..dorng bnti, ramai lgi yg masuk..pndaila our gov handle bnda ni..",c
Dr contract tak boleh sambung pakar. malaysia akan kekurangan pakar in future and rakyat akan merana. sbb tu diorg mogok for rakyat. harap maklum,c
x semua boleh jd doctor bro..terutama doctor pakar..tanpa doctor malaysia lumpuh lama dh dr segi kesihatan,c
negara tk kan kekurngan pakar/specialist selagi institusi pengajian perubatn masih ade dlm negra kte..kte rkyt mntk dorng bt keje bukn mogok utk rkyt.,m
"selagi dlm contract diorg tak boleh sambung pakar. no option for apply housing loan, master and postgraduate program",c
negra kte dh brdiri bpe lama dh.selama ni lumpuh ke.our gov msih pndai lgi handle bnda ni.bukn tugs kte nk kata ia dh lama lumpuh.ckp based on reality,c
mana facts awk amik ni syg..awk cek balik iye..,c
facts daripada Malaysia Medical Association.,c
"akan kekurangan ya. Sbb bila isu ni tak diperbaiki, habis dr² specialist lari ke negara lain. tambh pulak contract dr takleh smbg specialist.",c
pandai awk bt andaian ye..harap btul laa,m
"yes, hidup kena fikir jangka masa panjang. tak masuk lagi, Student nnti dah takut² nak ambik course medicine. sbb risk ni, byr mahal, ni je dpt.",c
"Allah ada, klinik swasta ada kau nak takug apa",m
"Pikir la dorg punya yuran belajar bukan kecik, besar gila nak dibandingkn yg lain. Tu tak termasuk lagi pinjaman2. Nmpk sama, tpi tak",m
"ko tuju kat aku ke?ko tk knal aku bro..tk perlu aku sebut ape krjaya aku,lvl education aku, achievment aku dlm ruangn komen ni..",c
dahtu nk tunggu betul ii jadi baru nk Kau nk menggelupur??,m
aku ade kje..yg tkde kje tu aku tak tahula..mungkin ade kekangannya..tiap org lain tahap kesushn dia..,m
"Encik / abang tolonglaaa fahama bahasa... doktor kontrak ni tak bole sambung speacialist bang .. so maksudnya dr pakar berkurang,,engkorang juga susah",c
"It doesnt only affect Dr, but also community ??",e
"Abg, diorg fight bukan sbb duit tau. Diorg fight sebab fikir rakyat. Buka hati utk faham diorang, kesian macam nak mati keje time pandemik",c
haah patut diam je tk perlu komen,m
i am dr jet....keep fighting...,e
Mesin tu bukan Dr yg jaga tapi misi. Dr X ni byk kelentong.,m
"bakpo kata gtu?adik saya misi, dio kata doc² ramai jaga pat kecemasan.pesakit sapa spital duk kecemasan dl.gapo² jd doc hadap",c
"jgn nak banding gaji dgn doctor, kalau gvn bagi gaji diorang besar gedabak pun apa salah ny..skill as doctor bukan macam kau ambik lesen D",c
plz ppl pitty our doctors. they very tired. plz help them. they need rest n meet family. really make me cry once i heard her shaking voice coz pain,e
"kalau tak buat macam ni..KKM buat bodoh je..elokk,setuju??",m
Ksian diorg .,m
we don't need contract for doctors. this is our country. why does our country have a contract doctor? let the doctor be permanent.,e
give them permanent job in our country as a doctor. I don't know why they needs a contract.,e
the problem is with the oversupply of medical graduates.,e
Yes looks at the doctors plight serving patients and standing and working longer hours and paid so much money for their studies and underpaid.,e
paling tidak pun dia org berani bersuara ...,m
btol depa beraniiii..sy yg takot nk p sogo..,m
sabtu org kl mmg lepak sogo bang...lyn busking...haiyooo xkl la xtau..,c
btul kata sami walu,m
"Kalau berani pergi depan pejabat tauke2 cartel2 buat demo, mereks yg culprit sebenar, ada bersni?",c
Ada logik gak tu.. Minta turun harga barang demo kat sogo.. ??????????. tapi mahasiswa semua tu. berapa la penurunan pendapatan kedai2 kat sogo.,m
"rakyat kene bangkit ,,,,jgn ikut je telunjuk eliT",m
btoll terbaik..pergi2 pakai bju kuning salah tema..patah balik....,m
"BN ne byk pemimpin rasuah rompak wang rkyt.. kesan utang 1mdb subsidi byk kena tarik buat byr utang,brg mahal, nnt ada gst lg adui. taknak undilah",m
Dema suka berimpun sahaja. Ore kitaaa,m
"betul, skrg ramai org gila, gila kuasa, gila kedudukan, gila naikkan harga barang, gila hapuskan subsidi, dll .. ????????",m
Gi kait sawit ramai2,m
TERBAIK ANAK MUDA..TOLAK BN BARANG NAIK PENYAMUM PEROMPAK PERASUAH PH TERBAIK,m
mahacai umno semua dah hidup senang lenang dari hasil samun dan rasuah apa dorang peduli rakyat miskin.Ayuh anak muda.,m
jomm..ayuhh....kita support atas bawahhh,c
cer tukar tempat bdemo..mcm buat dpn kilang minyak masak ke..dpn kilang proses ayam ke...logik la jgk..asyik² sogo..dataran..sogo dataran...,m
kan..sy dh cuba bgtau buat dpn ikbn sepang ke..dpn pej mof ke..kacau la sogo.sy nk p beli spender kat sogo n test mnyk wangi dgn awek sana pon xleh..,c
terbaik umno....aku menang suka zaman umno memerintah sebab baru rasa orng kaya sikit...??,m
Mahasiswa mudah lupa apa yg di janji kan oleh PH... Atau mata dah gelap dgn duit diberi..,m
"kalau minta kebenaran,ada kah ya boleh diluluskan??",m
Ada ke harga brang turun selepas demo,m
mungkin ada umpàn duit mereka turun ke jalanan,m
ini betul.mahasiswa jgn terlibat dgn demo.adam adli mencemarkan emej pendidikan suatu masa dulu,m
Sabtu ni ade lg x... Ke sekali ke,m
setidaknya mahasiswa berani bersuara.nak harapkan wakil rakyat yg kita lantik jauh sekali masing2 jaga periuk nasi.,m
Mahasiswa lg berani dr pencacai umno yg hari2 main tiktok utk duit dr umno??itu beza anak muda yg berani bukan sembang kt tiktok??,m
sokong ph xdpt apa..sokong umno hidup kaya raya..jom join umno..????,m
walaupun zaman umno barang mahal..diorang tetap sokong??tapi bila beli barang harga mahal...dia salahkan perniaga??orng umno dia taknak salahkan??????,m
nk buat macam mana..penyokong umno ramai orng tua yg duduk kampung lepas tu yg hidup sensara...orng kampung jugak??,m
"kalau bleh parti2 politik ni jngn la libatkan mahasisiwa2,jngn d sebabkan bayaran harapan ibu bapa terkubur...tak terfikir ke mereka semua.",m
nk beramuk kena mohon dulu Dari pehak polis,m
KAMI NK BUANG MEN3 PENYOKONG WHO... KAMI NK AMAN DARI NWO WHO.,m
kena cekup blacklist adoiii,c
tny dgn pro aspirasi mmg tu le jwpn dia??kalo yg bernotis & berpermit pun diorang takkan turun,m
kalau kena tangkap mak bapak juga yg susah..,m
stakat dekat 200 org je x mewakili mahasiswa.. tu pun pnyokong PH.,m
mahasiswa aspirasi pro UMNO ka? demo ni langgar perlembagaan n x bermoral ka? coklat rumah Rosmah ada makan tak ??????,m
apa lagi buang semua mahasiswa yg terlibat??,m
Semua ni pengaruh daripada demonstrasi siswa tahun 70'an dulu. Semai jiwa berontak pada penuntut pengajian tinggi. Inilah kesannya.,m
"benda baik ,memang ada dugaan ,semoga di permudakan urusan",m
terbaik moga dipermudahkan urusan,m
teruskan perjuangan mu,m
terbaik sapot,c
masa kerajaan PH dlu..bgi je mreka bhimpun dia mana saja.tiada tgkapan.siap polis tlg jagakn kwsn brhimpun lg.kerajaan PH haritu.terlalu brlembut baik,m
boleh je nak tuntut apa2 cuma caranya yg mau betul lah bro,m
Smoga dipermudahkan inshaallah barisan peguam yang terbaik,m
tu bru pejuang boss,m
kita ramai² tukar kerajaan,m
3 org ni Ikut perintah PH...Napa tak ikut parlimen je...salah nya mehasud di jalanan....PH buat jenayah menghasut ??????,m
lawan jagan x lawan,m
dah ahri zaman handak turun kan harga barang makanan itu satu jenaya,m
semoga di permudahkan segala urusan tolak BN UMNO,m
"demi rakyat wajib di sokong,",m
semua tu berbayar,m
semoga dpermudahkan urusan.... semoga kawan kalian...dibebaskan...,m
Macai2 Najib berhimpun tak kena tangkap ke?,m
Demontrasi jalanan yg Salah. Buat la Surat mengadap Agong. Baru Ada sistem,m
Humban umno pas bersatu pada pru 15,m
dulu kata ada GST basang akn naik..tapi x der GST barang naik..yg pasti BN terbaik,m
haha msa krajaan ph rakyat Mcm2 umnopas buat fitnah 22bulan...la dah jd krajaan mna isu arwah adid...isu arak judi selesai ke..isu BMF....brg naik????,m
tolak UMNO BN PAS BERSATU MCA . BN barang naik gila2,m
x puas ke kena kencing.. kurang basahnya ker,m
kerajaan BN yg korupsi,m
"pru14 bn dh di humban
pru15 skali lg akn di humban ke lubang najis",m
"moyang,atok,bapak,mak ko hidup dgn kerajaan mana..tak mati pun??????",m
"tolak umno BN ,terbaik",m
betul2 bnyk benda yg berfaedah lg bole dibuat...kumpul la dana buat amal lg bgs ada faedah...drp buat kecoh tmpt awam,m
kalau dapat duit boleh turun??,m
Nak jadi menteri bawak rakyat turun ke jalan..senang cerita????????,m
duit minyak boleh claim x???,c
ph selangor terbaik??????,m
Time takde kuasa utk Rakyat bila ada kuasa hy utk raykat ????????????,c
Pemimpin pembangkang dok lena.. Kalo pi takot kena tangkap.. Macai pkr ph yg penat,m
tetap sokong PH,m
ada faedah nya ne. supaya kerajaan kawal harga barang kita juga senang. bukan senang hidup zaman now kawan,m
nak trun lmpt...kalau 1mint je dah naik,m
btoi2...bkan kerana rakyat pun,m
"betul, buang masa je",m
"teruskan himpunan
kuasa rakyat",m
betul.. makin susahkan rakyat,m
xda paksaan...sapapn xpaksa.,m
Napa takut ke??,m
Sekurang kurangnya ada usaha????,m
"takut ke ???
kayanya kamu",m
cuba dulu baru tahu jangan cakap aja,m
betul...pembangkang yg protes...protes untuk kpentingn diri,m
buang Masa kalau kerajaan menteri tu buta PEKAK..,m
bosan lah.,m
pulaukan kesemua aktiviti2 PENYAMUN2 NEGARA & ahli2 politkus duit poket ni.buang masa je cz diorg dh kaya raya..kau rakyat apa ada?,c
"tolak BN = Barang Naik...
tolak UMNo = Rakan sekutu BN
tolak pAS= Sekutu BN
tolak PN = Pengkhinat Negara!!!!
tolak Dap = musuh dlm selimut ni",m
ye sgt betul. Bnde isu global bknnye Malaysia je,m
jgn lupa bantal tilam selimut ok,m
"duit dh dpt lh tu,..TUU...????????",m
Ini lah formula songsang rafizi. Kenaikan barang semua negara kena tampiasnya. Kalau Rafizi dan anuar bijak pandai.,m
baik cr tien cola jual lg bgs pkr2 lh,m
yang ckp buang masa mesti kaya raya ni.,m
yg makan cukup siap ada sponsor bolih le cakap tapi yg B40 takan dok diam sekurang2 nya dia gunakan kuasa dia sebagai rakyat betulksn kerajaan zalim.,c
"rakyat bayar gaji kat wakil rakyat,suruh wakil rakyat saja la yg turun..",m
Yg komen dlm ni kata on la reformasi la tolak bn la.. Bn nyamun la.. Dia x pi pon??????????????????????????????,c
"ekonomi global,rakyat kena bersyukur kerana Malaysia masih dapat bertahan dan masih boleh dapat makan",m
kerja lagi bagus dapat duit,m
kalau orang buat semua kau kata buang masa tapi kai x buang masa ke main ttok,m
sokong bokan macam umno sokong melulu,m
minta bubar parlimen la kali berani,m
"nk buat demo p buat depn kilang beras ,kilang ayam telur ,depn kilang minyakkkk",m
Kerajaan Tebuk atap,m
demo jangan tk demo??????,m
"sbb tu kerajaan nk hpus supsidi ...nk tlong b40,m40.Supsidi skrng orang kaya n warga asing yg untung",m
Merah Putih???? takut dah kalau dah macam ni,m
kerajaan bukan dari mandat rakyat cek rakyat tolak BN pn,m
kerajaan tidak usah takut sesiapa pun kerajaan duduk di Putrajaya barang tetap naik juga,m
"terbaik.,,, kuasa d tangan rakyat.,,",m
ramai 500 k yang turun ????,m
x dgr parti lain buat..mungkin buat huru hara baik utk ekonomi negara,m
mnteri tidooooooooo,m
nk bagi amaran kpd kerajaan. ha ha esok lusa penuh lah balai dn mahkamah.,m
macai umno jugak yg dapat menafaat nya,m
terbaik hdup rakyatku,m
sokong demi rakyat,m
jadi wakil rakyat pangkah dari rakyat,m
macai2 DAP,m
"tarik mou tu, wayang ja lebih",m
Undi masa rakyat Malaysia dpt rm100 ??????lupa ????murah,m
sya sokong harga brg turun... tp d sbb kn ada pihak yg mgkin mau komisen lbh sbb tu harga brg pn naik... ??????,m
marah betul tu... kekonpnnya rakyat nak turun ramai2,m
lawan terus kerajaan UMNO pengkhianat,m
pgil gueng nge ljh ..ganti..lgi koyak,m
apa kata pi demo dpn kilang² proses ayam..xpun kilang proses minyak masak ke...dpn sogo xbest arr..,c
sepa yg arah jadi cam ni oooooo duduk umah lah kau,m
political punya hal,c
Rakyat pilih bkn ko pilih??????,m
Tolak BN dan UMNO,m
Sya sokong,m
lawak2.. fyp tak ni,m
rebut kussa bukan cari jalan kurangkan bean rakyat. ??????,m
investors not interested to invest racis ministers...,e
pdrm tiada hak menghalang rakyat,m
Buat dlm stadium,m
kna la amik permit baru btul,m
apahal plk xde hak nk halang perhimpunan haram....yg buat himpunan tu ada hak plk....,m
terbaik raykat malaysia,m
naik mcanak turun skit...kna kencing dgn bn,m
terbaik aku sokong,m
ribuan hahahahhahaha,m
Dapat la beli air dengan nasi,m
BN org yg sama jgk.. baik x dak kerajaan lg baguih daaa,m
tolak ph..nk mkak dgn pmbekal..bkn psal krjaan..,m
nk penuh dewan boleh lh....ni nk ribu2,m
kali ini bn mesti,m
agak2 ler ribuan??,m
msih boleh makan Alhamdullilah.,m
"Kita tak bolih biar kerajaan yg menindas rajyat, dekat parlimen pun kita bolih lihat mcm mana smpai tak bolih bersuara kakau kena batang hidung mereka",m
Yg g sokong bn tu kne ape pN dh ok dh.. Nk bn juga dh tu mula lh.. Nk bt kerje bukan2,m
alhamdulilah buat yg terbaik jng sekali bergaduh bertindak kasar insyallah allah bersama org yg jujur aamiin2????,m
ya betul kena buat mcm tu lah,m
itu ajelah kerja yg diaorng bolih buat,m
Harga barang naik bukan salah kerajaan gulongan yg menopili ekonomi negara depa lah main harga..kita asyik dok bergaduh sama kita depa relex saja,m
bila melibatkan politik sama je 2x5..rakyat susah jugak,m
suara rakyat...DH X tahan n mampu dgn kezaliman kerajaan,m
tolak BN...barang naik,m
sepatot Nye kita semua keluar buat bnde yg sama,m
ekonomi negara mesti mcm2 supaya stabilkan ekonomi??????,m
tadi aku beli 100plus 1.5l harga RM6.00. Nak minum belisajalah ??????,m
"sokonglah bn penyamun,",m
kerajaan tebok atap... siapa nak ikut..,m
mereka buat untuk rakyat ..... terbaik,m
munkin sbb antar notis..tp x d endahkn...,m
tolak bn..,m
sokong ph..,m
ni semua parti PH nii. Parti PH NI mendesak rakyat untuk lakukan demonstrasi bagi meraih sokongan Tu jee,m
Anuar Musa - tolong comment sikit,c
"rakyat berapa ramai polis berapa ramai, bangkit la rakyat untuk keadilan rakyat",m
tangkap je jatuh maruah kita rakyat Malaysia,m
terbaik rakyat malaysia..,m
ITU LAH MACAI HIMPUNAN JALANAN APA DAPAT ??????,m
"puak pan.. dulu jdi kerajaan totally fail.. nk jdi hero skrg ini.. haktuik.. yg penting dpt t-shirt, duit mkn jadilh hihihihuhi",c
tetap BN .ph dah jahanam ..salah undi..,m
"BN
Barang Naik
UMNO menang
PENYAMUN senang",m
dh thu mesti penbakang yg anjur motif utama nk berkempen utk parti je sbnarnya..taktik je ni...,m
menteri apa asyik nak bermewah 2 asyik menekan kehidupan rakyat,m
klu barang naik jgn beli ..pulaukn,m
buang semua menteri yang tak berguna yang menhabis kan duit rakyat harga barang pun tak boleh control,c
"dulu korang jugak yg nak tolak GST sekarang apa rasa bila harga barang tak boleh kawal,tu akibat orang kufur nikmat",m
tanda2 dah dekat nk mngundi..??,m
org jual mkn naik xturun2,m
ikan termenung kt kampung sy kg rm16 mampuslah,m
barang naik xda surat xda notis pun baik so perhimpunan nak turun pun xda masalah lah kajaan kena faham,c
"nah 39 hinggit, puas hati kn malaun",m
Himpunan jalanan ni ilmu Nuar Berehim dari tahun 1974,m
Bagus.... Bangkit......,m
nk nampak best ribuan tu????????????????????????????????????????????????????????????????,m
protest muka melayu jaa cina India ada x,m
"Perdana Menteri Tak Betul, Tu Yang Negara Kita Dah Hancur. Tukar Perdana Menteri Secepat Mungkin.",m
ialah memang betul pun heran juga aku ...kesian dahla tak bekerja brg naik...kesian,m
Agak2 la.. Ribuan... Lagi ramai media ade la... Aku dkt sane... Menyusah kan rakyat...,m
ada 2..3ekor mcmane boleh kira jadi ribuan..sampai tahap ni pun masih nk kenching hanching juga,m
ribuan ? last kata ratusan mana satu ??,c
suara rakyat polis jangan sebok,m
"kira jari ke kira org sampai ribuan tu.? oh bunian sekali kan, salu ceramah pn camtu, bunian join.. hidup raykat",m
Trbaek..sokong sgt2??????,m
Macai pon penat.. ??????????????????????,m
Esok ade lg x.. X kan sehari je.. ????Penat ke????????????,m
Punya la takot pkr guna nama mahasiswa.. Settle lepak starbuck??????,c
??????Leh duk semeja ka,m
Dap lena kat umh.. ??????Macai giat usaha????????????????????????????????????,m
parti bersatu yg banyak jadi menteri dan timbalan menteri... potong gaji dia,m
Terbaik sokong....teruskan perjuangan.. Allahuakbar,m
"ayuh rakyat....kita turun bersama ,membela nasib rakyta",m
polis pun rakyat juga,m
Antara Punca barang naik sbb subsidi ditarik. Kerajaan dah tiada wang. Wang dirompak oleh pemerintah sebelum ini.,m
bagus untuk semua rakyat...,m
aku sokong gaji menteri di potong dia org senang lenang rakyat yg susah,m
esk menteri turut harga terima kasih berpanas ye .,m
Setidaknya mereka berani bersuara dari berkokok dlm tik tok. Bayangkan jika lebih ramai rakyat Malaysia begitu. Baru dinamakan kuasa rakyat,m
Baik pergi kerja dari ikut dia tak dapat apa apa ??,m
Respect tabik,c
yeah haaa....esok harga barang turun.....??,m
Ramai siout.. Boleh goncang kerajaan. Buat lg minggu depan.. Tiap minggu tiap bulan.. Sampai harga ayam turun jd rm 1 sekilo. Kuasa rakyat,m
"yaa dalam platform multimedia juga,turunkan harga barang,turunkan harga barang????",m
"Dlu dh senang brim ada, 1mlaysia mcm2 ada nk gk jadi mcm ni adeii???? suka hati la korang",m
Dah turun ke harga skrg ni,m
Alamak kata gst dihapuskan ganti sst hrg brg turun??,m
undi PH harga barang turun,m
"bubar je parlimen menteri2 semua dari PN ,PM dari umno macam mana nak turun harga barang",m
"menteri tu termasuk pembangkangbsekali ke? dap,pkr,pas,amanah,muda",m
"boleh buat jer,nnti hajat xkesampaian",m
"teruskan utk rakyat
hanya bn je tutup diri",m
lwn jgn x lwn.. terbaik utk masa dpn negara n kehidupan netizen yg semakin ssh n bergelut dgn bebagai...,m
Umno BN telah menghuru-hara kan negara kita.,m
Najib yg terbaik!,m
terbaekk ????????,m
kerja terbaik tanah melayu Malaysia ????,m
Ismail Sabri dari UMNO tanggung jawap isu rakyat barang naik menggila..BN...barang naik...,m
esok turunlah alangkah bahagianya...rindu zaman 30hengget,m
bila macai ph buat keje... terbaik ??????,m
guna kuasa pengguna bukan kuasa d jln raya.,m
barang kita semuanya ada dimalaysia tapi kenapa nak mahal sgt.,m
Inilah berlaku kalau Umno BN memerintah negara kita. Rakyat perlu bangkit pada PRU 15 nanti.,m
Potong Apa. Lemas kan Semua itik la. Kan Lanun jawatan kalah pru 14. ????????,m
tokeh2 barang yg besar2 tu gelak jer,m
Zaman pakatan harapan harga barang naik tidak pun mereka buat MCM ni ini kerja parti penipu parti penghasut mmprbodoh kn rakyat,m
ingat bn.ingat barang nsik.angkara penyamun,m
gi la serbu tokey² besar tu...,m
mmg patut pun.potong 50%,m
I support 200%,m
BN kena ingat...rakyat dah sokong kamu...so..majority berpihak pada kamu...jangn bagi chance puak2 nie buat huru-hara..,c
pm jgn d layan...,m
esok minyak turun 24 jam pm tepi bilang,m
"turun pm pun tak jadi , turun apa pula , nak pilih umno result ni dpt lah.....",m
ingtkan lepas pru14 kena kencing dah abis dah geng mcmni..,m
MEMANG POTONG GAJI MENTERI2 DAN PECAT MENTERI YANG AMBIK GAJI BUTA.,m
Semua nak buat kacau biliau dalam negara,m
menteri gaji menggunung.....rakyat mendatar.........akhirat sama darar.....fikir²kan lah wahai pemimpin,m
potong gaji mereka pasti menyamun.. mana lebih menjahanamkan negara????,m
seluruh Malaysia buat mahu longgar lutut nenteri??! . naik harga baranh lagi mukin kot??. ! hati2 pak menteri??,m
Lawan tetap Lawan halau dia org..,m
demo la korang puas puas....prk sabah sarawak johor melaka ada menang ke??ke sah mlingkop...BN tetap dihati rakyat.,m
pergunakan rakyat utk politik dn jawatan.,m
"aku rasa ramai kot orang2 bijak tu, tapi selesai tak masalah kalau buat camtu.",m
kerajaan Mana pun sama ja. .,m
buat sesak jalan je.org nk bekerja pun susah,m
"alaa... 30 hinggit je pon, xkn lh smpai berpeluh",m
"PROTES LAH SAMPAI HUJUNG DUNIA BUANG MASA JE, MENTERI2 SEMUA TIDO PEKAK BISU, BAIK BELI YG PERLU ,AKU DH 5 BLN X BELI MINYAK MASAK",m
"dari hidup susah , skrg dh senang, nk protes ape ??",m
lps pkp satu dunia hadapi keadaan sedemikian...termasuk Malaysia..sebab Malaysia pun dlm dunia....,m
senaraikan negara mana harga barang turun sekarang..negara kerajaan langit kot.. Malaysia antara inflasi paling rendah d antara negara2 ASEAN..,m
"bagus jugak demo mcm ni ni…US, UK, australia, singapore & lain2 semua tinggi kadar inflasi..masalah global",m
semua negara ada masaalah....tetapi bijak mengatasinya,m
"saya sokong tuan,teruskan bersuara untuk rakyat",m
BN = Barang Naik,m
mu ingt malaysia je...hadapi kenaikan harga barang???skrg inflasi tinggi....,m
Krajaan pun ptut tolong rakyat dgn kurangkan mentri cap ayam yg tak function ??,c
cap ayam????sape???menteri ph...pon dh x de????,m
PM pon PM Ayam ??,m
inflasi bro .. it's happening everywhere...tetap sama walaupun kerajaan saling beeganti,c
"BN menang, rakyat senang kan?",m
BN kena game dgan atok..,c
"Bro Omar, fakta dan point yg TEPAT.
Sepatutnya kerajaan tangguh dlu soal tarik subsidi.
Tarik subsidi bukan TINDAKAN YG TEPAT.
SETTLE DLU ISU KARTEL",m
pandai kn Kera'jaan bila naik kn gaji Rm1500 selang beberapa hr hrga brng2 naik mendadak sbb subsidi ditarik.. mcm tu gaji naik pon tk ada makna lh,m
good job bro,e
sokong ?? 20000000x????????????????,m
tahniah bos,m
kka sokong,m
good job brother thanks ??????????,e
saya sokong hak rakyat Di rampas kroni Makin kenyang,m
semua negara asean naik barang tak perlu nak himpun,m
tq boss wakil suara rakyat,c
biasa la bro....,m
"kalau rakyat pun x percaya pd kerajaan,apa tah lg pelabur2",m
MENTERI EKONOMI WAJIB BG SOLUSI,m
Terima kasih bersuara untuk rakyat.. Cuba kurang kan semua gaji menteri2,m
dari dulu rakyat susah bukan skrg je..subsidi ada pon siapa yg untung,m
Good job yb,c
Terbaik sokong 200%..# berjuang utk kemaslahatan rakyat,m
saya sokong ABG . . kita patut tentang kerajaan yg ada,m
Betul YB…. Kerajaan patut menjaga rakyat tetapi kini kerajaan hanya pentingkan diri mereka. Buat apa ada kerajaan kalau x effective.,c
saya suport ????,c
asal bersuara jer dipanggil kebalai. dimana suara rakyat sedangkan kamu jadi kerajaan melalui wakil yang dipilih oleh rakyat. Sedih!!!,m
rakyat baru nak benafas gaji basic naik..tetibe barang naik menggila..bole sesak balik nafas,c
harga telur d Sabah rm14.50 sdngkan dlu bru murah ja,m
hidup bossku,m
hidup kak mah,m
Hidup JLo ??,m
"kita tengok ada perubahan atau tk memberi kesan langsung pada kerajaan, ????",m
lepas protes pakat2 beratuq drive thru kat Md,c
subsidi ditarik le,m
sokong bro 1000%,m
Good job….thank you,e
Apa kata pembangkang dan kerajaan berkerjasama dalam menghadapi kartel yang menyebabkan harga barang naik mengila,m
Sembang sangatlah mudah...,m
KWSP kesemuanya,m
terima kasih nak harap menteri karut menteri xyah ada xpa klu gni,m
steady gengggg lawan tetap lawannnnn...,c
"Berani Kerana Benar...
Lawan Terus Lawan.",m
pendirian kerajaan. BERUBAH2.(BERMULA DR KERAJAAN PH).KAMU SENDRI BG SOLUSI DAN JLN KELUAR BKN HNY BRCKP DN BERHIMPUN SKRG KERAJAAN CAMPURAN,m
sukar...sbb pm4 byk bgtung dgn kartel2..sbb tu pm6 kantoi..wlpun modes operasi sama..umnobn????,m
kerajaan masih lg kerajaan PN bukan kerajaan BN,m
Kerajaan PN.. Sila bubar,m
"asal bckp ja kena pangil pi balai, apa yng kt balai tu tk terkesan ka dgn harga brng, dimana suara rakyat",m
Masa PH dulu pun barang bukan murah pun....,m
Lincah bro shake hahaha,c
macai bn umno cukup suka barang naik...tgok dpt 50 inggit bleh beli mnyak masak sbotol...jnji sokong mlayu sekau...,m
potong elaun menteri..,m
"1hb je terus ayam berlambak, besar2 pulak tu.. nampak sgat kena simpan.",m
hbt mntn YB Paloh..,m
salah tangan sendiri.... org lain disalahkan....kena keluar dari jajahan hasad dengki.....,m
TOKKI PPIM TAK MASUK BERTANDING KE..TOLONG LA MASUK..DGN YUSOF AZMI..AKU NAK UNDI DIA..TANAK DAH DGN ORG2 POLITIK GILA KUASA NI ..SAMA 2X5..,m
saya nak MB kedah jdi PM. .walau pun saya hindu...saya sokong dia...tp xnak pas dr kelanran tau...,m
assalamualaikum YB..syg YB ketat2..DAP selamanya..insyaAllah ?,m
skg kerajaan camporan...kenapa bn je salah...byk menteri tk boleh pkai ...kena kurangkn..tk reti buat kja..,m
tapi apa kaitan dengan sepanduk BN = BARANG NAIK pula? apakah kerajaan kita hari ini dari BN ke? jangan babitkan BN dalam isu ni boleh tak???,m
SOKONG 100%,m
ini masalah global,m
22 bln khdam melayu liberal ph bersama kabinet ph pemusnah ekonomi tanah Melayu Islam,m
Kenapa halang hak Rakyat? Perompak rugi duit negara tidak dihalang tapi rakyat ausah dihalang,m
bukan polis diraja Malaysia tpi polis diraja menteri,m
betol aku sokong sah polis ditangan menteri dah sekarang ni tiada lagi polis diraja malay??????????????,m
ooo..mcm tu,m
lagi dihalang lagi ramai yang turun percayalah,m
Kerajaan penyamun,m
kenapa harus dilarang kerana. perhimpunan secara aman.,m
"tgu kebenaran elok la brg koi dok naik, gaji menteri haprak koi dok naik...last2 rkyt ikat perut",m
habis takan nak diam kena telan bulat bulat harga naik gila.. gaji 1500 sebap gaji rendah ni dah naik gaji 1500 pun harga naik jugak... macam tak naik,m
rse2 mnyesal x parent dorg galakkn ank msuk polis..dh ank kne ikot pmimpin yg zalim..,m
"Abg kakak yg cantik dan hensem, dah selawat belum harini
?????? ?? ??? ????? ???? ???? ?? ????? ?????",m
Rakyat is the King. Louder rakyat Malaysia ???,m
Harini dah 25hb. Tapi kat poster tu 23hb. So orng dh turun kn??????? ke lambat upload?,c
